Ticker,Date,Industry,Rtn1q
A,2011-06-30,106001,-0.49194623427673756
A,2011-09-30,106001,0.27989900017484537
A,2012-12-31,106001,0.23254744675190997
A,2013-09-30,106001,0.11182712984272447
A,2013-12-31,106001,-0.022484472210214435
A,2014-03-31,106001,0.031642511286451125
A,2014-06-30,106001,-0.005841286450242844
A,2014-09-30,106001,-0.004339509043451706
A,2014-12-31,106001,0.019757481588400072
A,2015-03-31,106001,-0.07173768632075728
A,2015-06-30,106001,-0.11374914555544713
A,2015-09-30,106001,0.19968206463521154
A,2015-12-31,106001,-0.04786329414293222
A,2016-03-31,106001,0.11249454095167177
A,2016-06-30,106001,0.06223231730012069
A,2016-09-30,106001,0.12109321687283314
A,2017-03-31,106001,0.1173112060210193
A,2017-06-30,106001,0.049549884334879835
A,2018-05-31,106001,0.08930880664731866
A,2018-08-31,106001,0.0034295120469653995
A,2018-12-31,106001,-0.004027151389421668
AA,2017-05-31,110004,0.28677091065753535
AA,2017-08-31,110004,0.0851485064906341
AA,2017-10-31,110004,-0.06061154111504763
AA,2018-02-28,110004,0.06666268112325335
AA,2018-05-31,110004,-0.07335614654184175
AA,2018-08-31,110004,-0.33952142960297493
AA,2018-11-30,110004,-0.07539044241527826
AAL,2014-04-30,100006,0.10479149151884481
AAL,2014-07-31,100006,0.06497654867292013
AAL,2014-10-31,100006,0.15897551905778995
AAL,2015-04-30,100006,-0.18560279624598897
AAL,2015-07-31,100006,0.02940260380875337
AAL,2016-02-29,100006,-0.003786449052503027
AAL,2016-10-31,100006,0.13731784167702576
AAL,2017-02-28,100006,0.08653360267377375
AAL,2017-07-31,100006,-0.0725228656041752
AAL,2017-10-31,100006,-0.16226320772167213
AAMC,2014-04-30,104001,-0.17652923608945015
AAMC,2014-07-31,104001,-0.05207525715383943
AAMC,2015-03-31,104001,-0.25476608523641975
AAMC,2015-08-31,104001,-0.10545396923482997
AAMC,2015-11-30,104001,-0.33684613828943144
AAMC,2016-02-29,104001,0.09125628132295516
AAMC,2016-05-31,104001,0.107508744196116
AAMC,2016-08-31,104001,0.08531107679029626
AAMC,2016-11-30,104001,0.2815054005600519
AAMC,2017-03-31,104001,-0.10412212540667998
AAMC,2017-05-31,104001,-0.11531084651099421
AAMC,2017-08-31,104001,-0.08701137698962969
AAMC,2017-11-30,104001,-0.013218291085852929
AAMC,2018-05-31,104001,0.16389975667910006
AAMC,2018-08-31,104001,-0.2902919042941523
AAN,2011-02-28,100007,0.181741173724848
AAN,2011-05-31,100007,-0.05634767794608164
AAN,2011-08-31,100007,-0.013137746921577875
AAN,2011-11-30,100007,0.06147081001800547
AAN,2012-02-29,100007,-0.05063898264240496
AAN,2012-05-31,100007,0.11885125205039593
AAN,2012-08-31,100007,-0.039371049017551396
AAN,2012-11-30,100007,-0.05028381642621538
AAN,2013-02-28,100007,0.029457210885429852
AAN,2013-05-31,100007,0.09246936264590921
AAN,2014-02-28,100007,-0.078775454962551
AAN,2015-03-31,100007,0.28571162846448184
AAN,2015-08-31,100007,-0.437717151945352
AAN,2015-11-30,100007,-0.05392834202555585
AAN,2016-02-29,100007,0.08873226422024771
AAN,2016-05-31,100007,-0.02774555782724608
AAN,2016-08-31,100007,0.17838331976275246
AAN,2016-11-30,100007,-0.06433085838114039
AAN,2017-02-28,100007,0.2926530851738014
AAN,2017-05-31,100007,0.1930534784968576
AAN,2017-08-31,100007,-0.1842766805212981
AAN,2017-10-31,100007,0.12822652196051942
AAN,2018-04-30,100007,0.037019434043180866
AAN,2018-07-31,100007,0.08494520070689182
AAN,2018-10-31,100007,0.1422641481135627
AAOI,2015-08-31,101004,-0.09458264248594794
AAOI,2015-11-30,101004,-0.22916162363977266
AAOI,2016-03-31,101004,-0.34590626885457176
AAOI,2016-05-31,101004,0.46822479687629537
AAOI,2016-08-31,101004,0.3852825867028975
AAOI,2016-11-30,101004,0.8183934376831843
AAOI,2017-03-31,101004,0.21789382049243766
AAOI,2017-05-31,101004,-0.16635122503694344
AAOI,2017-08-31,101004,-0.3031369255181491
